SourceFile,File:FileModifyDate,File:FileSize,PDF:CreateDate,PDF:PageCount
nature09980-s1.pdf,2011:06:08 17:53:24+01:00,1907 kB,2011:05:06 12:24:11+01:00,29
nature10341-s1.pdf,2011:09:07 17:56:58+01:00,2.7 MB,2011:06:24 16:31:41+02:00,29
nature10443-s1.pdf,2011:09:28 18:04:26+01:00,10 MB,2011:08:20 20:22:03+08:00,29
nature10688-s1.pdf,2012:01:04 17:54:15+00:00,9.1 MB,2011:11:17 16:46:27Z,29
nature10690-s1.pdf,2012:01:11 17:55:02+00:00,7.5 MB,2011:10:27 18:48:37+08:00,29
nature10691-s1.pdf,2012:01:11 17:55:19+00:00,11 MB,2011:10:17 23:17:44Z,29
nature10720-s1.pdf,2012:01:25 18:05:36+00:00,4.0 MB,2011:11:10 20:53:19+01:00,29
nature10806-s1.pdf,2012:02:22 17:57:57+00:00,2.4 MB,2011:12:08 03:52:37Z,29
nature10823-s1.pdf,2012:02:29 17:54:11+00:00,28 MB,2012:02:02 21:52:00Z,29
nature10847-s1.pdf,2012:02:22 18:00:51+00:00,1194 kB,2012:02:02 15:36:46Z,29
nature11087-s1.pdf,2012:05:23 17:53:54+01:00,1515 kB,2012:05:10 16:36:07+01:00,29
nature11233-s1.pdf,2012:09:05 17:55:06+01:00,1090 kB,2012:08:29 13:46:15+01:00,29
nature11272-s1.pdf,2012:08:15 17:54:02+01:00,4.3 MB,2012:07:02 14:58:38+01:00,29
nature11395-s1.pdf,2012:08:22 17:54:21+01:00,8.2 MB,2012:08:15 16:41:20+01:00,29
nature11557-s1.pdf,2012:11:21 17:53:34+00:00,3.1 MB,2012:10:11 15:35:47+01:00,29
nature11585-s1.pdf,2012:10:31 14:16:43+00:00,1496 kB,2012:10:17 13:46:12+01:00,29
nature11590-s1.pdf,2012:12:05 17:55:50+00:00,9.2 MB,2012:10:22 20:26:18Z,29
nature09460-s1.pdf,2011:03:11 15:19:28+00:00,1707 kB,2010:10:20 16:13:48+01:00,28
nature09463-s1.pdf,2010:11:03 17:54:20+00:00,450 kB,2010:08:25 04:19:16Z,28
nature09490-s1.pdf,2010:11:17 17:56:21+00:00,1393 kB,2010:08:26 16:43:08-07:00,28
nature09590-s1.pdf,2010:12:22 17:58:42+00:00,5.6 MB,2010:10:11 20:46:13Z,28
nature09666-s1.pdf,2011:01:26 17:53:26+00:00,4.1 MB,2011:01:10 17:41:10-05:00,28
nature09677-s1.pdf,2011:02:09 17:55:53+00:00,1559 kB,2011:01:27 12:30:14Z,28
nature09707-s1.pdf,2011:02:23 17:53:14+00:00,2.7 MB,2010:11:19 14:32:45Z,28
nature09817-s1.pdf,2011:04:27 17:54:11+01:00,9.7 MB,2010:12:16 21:31:24Z,28
nature09820-s1.pdf,2011:03:16 17:55:30+00:00,11 MB,2011:02:18 18:57:46-08:00,28
nature10125-s1.pdf,2011:06:15 18:00:57+01:00,4.9 MB,2011:04:15 11:33:36Z,28
nature10216-s1.pdf,2011:07:13 17:56:09+01:00,2.2 MB,2011:07:04 15:15:25+01:00,28
nature10703-s1.pdf,2012:01:04 17:54:39+00:00,7.2 MB,2011:10:27 21:19:24Z,28
nature10841-s1.pdf,2012:03:07 17:53:36+00:00,5.8 MB,2012:02:24 12:11:21Z,28
nature11009-s1.pdf,2012:05:23 17:52:41+01:00,6.3 MB,2012:05:09 14:19:51+01:00,28
nature11030-s1.pdf,2012:05:02 17:55:25+01:00,2.5 MB,2012:03:23 15:36:03Z,28
nature11053-s1.pdf,2012:06:13 18:23:41+01:00,8.5 MB,2012:03:16 18:44:49-05:00,28
nature11093-s1.pdf,2012:06:20 18:23:07+01:00,7.4 MB,2012:05:30 15:46:54+01:00,28
nature11233-s2.pdf,2012:09:05 17:55:09+01:00,4.0 MB,2012:08:29 14:17:52+01:00,28
nature11315-s1.pdf,2012:09:12 17:53:26+01:00,12 MB,2012:05:29 20:54:00-07:00,28
nature11319-s1.pdf,2012:08:08 17:55:48+01:00,2.8 MB,2012:07:09 11:30:50+01:00,28
nature11352-s1.pdf,2012:09:19 17:53:16+01:00,8.1 MB,2012:07:12 15:53:03+01:00,28
nature11414-s1.pdf,2012:09:26 17:54:40+01:00,8.8 MB,2012:06:28 13:09:30-07:00,28
nature11420-s1.pdf,2012:10:10 17:58:20+01:00,11 MB,2012:07:13 00:46:24Z,28
nature11461-s1.pdf,2012:10:03 17:57:36+01:00,1773 kB,2012:09:26 13:56:50+01:00,28
nature11618-s1.pdf,2012:11:21 17:54:21+00:00,6.7 MB,2012:11:09 17:07:11Z,28
nature09380-s1.pdf,2010:09:22 17:57:05+01:00,2038 kB,2010:08:13 12:32:25+01:00,27
nature09395-s1.pdf,2010:09:22 18:01:43+01:00,17 MB,2010:09:15 16:47:21+01:00,27
nature09660-s1.pdf,2011:01:05 17:54:03+00:00,5.9 MB,2010:10:05 09:52:59Z,27
nature09974-s2.pdf,2011:06:01 17:53:11+01:00,896 kB,2011:04:08 09:50:50Z,27
nature10094-s1.pdf,2011:06:29 17:55:57+01:00,25 MB,2011:04:04 00:01:28-04:00,27
nature10109-s1.pdf,2011:06:01 17:54:29+01:00,24 MB,2011:04:08 22:13:39Z,27
nature10139-s1.pdf,2011:06:01 17:55:41+01:00,12 MB,2011:05:03 10:11:25-07:00,27
nature10204-s1.pdf,2011:06:29 17:57:19+01:00,1591 kB,2011:06:17 12:15:25+01:00,27
nature10263-s1.pdf,2011:07:20 17:56:44+01:00,29 MB,2011:06:02 18:46:44Z,27
